committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,previous_file_number,amendment_indicator,amendment_number,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,candidate_office_state,candidate_office_district,candidate_party,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,election_type,election_type_full,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,most_recent,filing_date,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C00486845,LCV VICTORY FUND,2016,M7,201607159020599672,24,1086764,"LEAGUE OF CONSERVATION VOTERS, INC.",,,,1920 L ST NW,STE 800,WASHINGTON,DC,200365045,1086764,N,,STAFF TIME AND EMAIL FOR ONLINE MESSAGE,2016-06-21 00:00:00,2016-06-21 00:00:00,85.95,85.95,,,O,,,S0WI00197,"JOHNSON, RON",,RON,,JOHNSON,,S,WI,00,REP,,,,,,,,"COLLINS, PATRICK",2016-07-15 00:00:00,,,,G2016,,,,PATRICK,,COLLINS,E7DBA81E8FB214F57874,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F3X,4071520161306646978,4072720161307169629,,,f,t,2016-07-15 00:00:00,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201607159020599672
C00486845,LCV VICTORY FUND,2022,M9,202209209528750816,24,1631700,THE PIVOT GROUP,,,,1250 HALF ST SE,APT 357,WASHINGTON,DC,200034908,1631700,N,,MAILER & POSTAGE,2022-08-26 00:00:00,2022-09-06 00:00:00,10773.76,42686.30,004,Advertising Expenses ,S,,,H8WA08189,"SCHRIER, KIM",,KIM,,SCHRIER,,H,WA,08,DEM,,,,,,,,"COLLINS, PATRICK",2022-09-20 00:00:00,,,,G2022,,,,PATRICK,,COLLINS,VVAG5ARF304,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F3X,4092020221576068999,4092220221576546565,,,f,t,2022-09-20 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202209209528750816
C00486845,LCV VICTORY FUND,2020,M8,202008209261716355,24,1434482,BLUEPRINT INTERACTIVE,,,,1730 RHODE ISLAND AVE NW,STE 1014,WASHINGTON,DC,200363112,1434482,N,,DIGITAL AD PRODUCTION,2020-07-17 00:00:00,2020-07-17 00:00:00,3628.00,7645257.27,004,Advertising Expenses ,O,,,P80001571,"TRUMP, DONALD J",,DONALD J,,TRUMP,,P,US,00,REP,,,,,,,,"COLLINS, PATRICK",2020-08-20 00:00:00,,,,G2020,,,,PATRICK,,COLLINS,VVAG5APYHV1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F3X,4082120201829455842,4082920201831397600,,,f,t,2020-08-20 00:00:00,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?202008209261716355
C00486845,LCV VICTORY FUND,2022,12G,202210279542048982,24,1653599,AL MEDIA LLC,,,,222 W ONTARIO ST,STE 600,CHICAGO,IL,606543655,1653599,N,0,DIGITAL AD BUY,2022-10-17 00:00:00,2022-10-18 00:00:00,20000.00,608303.94,004,Advertising Expenses ,O,,,H8NM02156,"HERRELL, STELLA YVETTE",,STELLA YVETTE,,HERRELL,,H,NM,02,REP,,,,,,,,"COLLINS, PATRICK",2022-10-27 00:00:00,,,,G2022,,,,PATRICK,,COLLINS,VVAG5ARKA91,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F3X,4102720221592348768,4112320221630714952,,,f,t,2022-10-27 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210279542048982
C00486845,LCV VICTORY FUND,2020,30G,202012039342661348,24,1481286,"LEAGUE OF CONSERVATION VOTERS, INC.",,,,740 15TH ST NW,FL 7,WASHINGTON,DC,200051048,1481286,N,,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2020-10-22 00:00:00,2020-10-22 00:00:00,22.79,16852295.48,001,Administrative/Salary/Overhead Expenses ,S,,,P80000722,"BIDEN, JOSEPH R JR",,JOSEPH R JR,,BIDEN,,P,US,00,DEM,,,,,,,,"COLLINS, PATRICK",2020-12-03 00:00:00,,,,G2020,,,,PATRICK,,COLLINS,VVAG5AQBD33,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F3X,4120520201964454566,4010620212033351439,,,f,t,2020-12-03 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202012039342661348
C00486845,LCV VICTORY FUND,2022,12G,202210279542048998,24,1653599,"LEAGUE OF CONSERVATION VOTERS, INC.",,,,740 15TH ST NW,FL 7,WASHINGTON,DC,200051048,1653599,N,0,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2022-10-17 00:00:00,2022-10-17 00:00:00,7.76,7.76,004,Advertising Expenses ,S,,,H2OH01194,"LANDSMAN, GREG",,GREG,,LANDSMAN,,H,OH,01,DEM,,,,,,,,"COLLINS, PATRICK",2022-10-27 00:00:00,,,,G2022,,,,PATRICK,,COLLINS,VVAG5ARKBH5,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F3X,4102720221592348768,4112320221630714984,,,f,t,2022-10-27 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210279542048998
C00486845,LCV VICTORY FUND,2022,M10,202210209537740931,24,1645598,THE PIVOT GROUP,,,,1250 HALF ST SE,APT 357,WASHINGTON,DC,200034908,1645598,N,0,MAILER & POSTAGE,2022-09-14 00:00:00,2022-09-26 00:00:00,6589.49,42894.53,004,Advertising Expenses ,S,,,H6NV04020,"LEE, SUSIE",,SUSIE,,LEE,,H,NV,03,DEM,,,,,,,,"COLLINS, PATRICK",2022-10-20 00:00:00,,,,G2022,,,,PATRICK,,COLLINS,VVAG5ARG3T8,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F3X,4102020221589932788,4111620221629804696,,,f,t,2022-10-20 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210209537740931
C00486845,LCV VICTORY FUND,2018,12G,201812069134977432,24,1299369,DIXON/DAVIS MEDIA GROUP,,,,1028 33RD ST NW,STE 300,WASHINGTON,DC,200073571,1283048,A,,TV AD PRODUCTION,2018-10-09 00:00:00,2018-10-09 00:00:00,16908.00,273611.07,004,Advertising Expenses ,O,,,H6NC13129,"BUDD, THEODORE",,THEODORE,,BUDD,,H,NC,13,REP,,,,,,,,"COLLINS, PATRICK",2018-12-06 00:00:00,,,,G2018,,,,PATRICK,,COLLINS,VVAG59XZ691,,C,CHANGE,ITEMIZED INDEPENDENT EXPENDITURES,F3X,4120720181620535250,4021120191638936464,,,f,t,2018-12-06 00:00:00,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134977432
C00486845,LEAGUE OF CONSERVATION VOTERS VICTORY FUND,2014,M6,14941334569,24,931963,"LEAGUE OF CONSERVATION VOTERS, INC.",,,,1920 L ST NW,STE 800,WASHINGTON,DC,200365045,931963,N,,STAFF AND EMAIL FOR ONLINE MESSAGE,2014-05-13 00:00:00,2014-05-09 00:00:00,69.83,413.21,,,O,,,S4CO00395,"GARDNER, CORY",,CORY,,GARDNER,,S,CO,00,REP,,,,,,,,"COLLINS, PATRICK",2014-06-18 00:00:00,,,,P2014,,,,PATRICK,,COLLINS,E00BDD9B60A6A4562B75,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F3X,4061820141215418187,4062320141215622005,,,f,t,2014-06-18 00:00:00,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?14941334569
C00486845,LEAGUE OF CONSERVATION VOTERS VICTORY FUND,2014,30G,14953142461,24,979828,PUBLIC POLICY POLLING,,,,2912 HIGHWOODS BLVD,,RALEIGH,NC,276041064,979828,N,,POLLING,2014-11-07 00:00:00,2014-10-14 00:00:00,1500.00,1057665.42,,,S,,,S8CO00172,"UDALL, MARK E SEN.",SEN.,MARK,E,UDALL,,S,CO,00,DEM,,,,,,,,"COLLINS, PATRICK",2014-12-04 00:00:00,,,,G2014,,,,PATRICK,,COLLINS,EF7A1CFA610E94014A98,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F3X,4120520141232044289,4010220151233779865,,,f,t,2014-12-04 00:00:00,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?14953142461
C00486845,LEAGUE OF CONSERVATION VOTERS VICTORY FUND,2010,Q3,10991369157,,501331,AHA DIRECT,,,,"1600 WILSON BLVD., SUITE 300",,ARLINGTON,VA,22209,501331,N,,DIRECT MAIL,2010-09-15 00:00:00,,375.86,3609.35,,,S,X,,H8VA05106,"PERRIELLO, TOM S.P. REP.",,TOM S.P. REP.,,PERRIELLO,,H,VA,05,DEM,,,,,,,,"COLLINS, PATRICK",2010-10-15 00:00:00,,,,G2010,,,,,,,E893AECBE46D242E6ACF,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F3X,4101520101130368715,4101920101130437134,,,f,t,2010-10-15 00:00:00,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?10991369157
C00486845,LEAGUE OF CONSERVATION VOTERS VICTORY FUND,2014,30G,14953142468,24,979828,"TERRA STRATEGIES, LLC",,,,321 E. WALNUT,STE 340,DES MOINES,IA,503092013,979828,N,,FIELD CANVASS CONSULTING,2014-10-31 00:00:00,2014-10-14 00:00:00,143550.00,159691.30,,,S,,,H2CA31125,"AGUILAR, PETE",,PETE,,AGUILAR,,H,CA,31,DEM,,,,,,,,"COLLINS, PATRICK",2014-12-04 00:00:00,,,,G2014,,,,PATRICK,,COLLINS,E1BA1F076E19D47FA8C8,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F3X,4120520141232044289,4010220151233779879,,,f,t,2014-12-04 00:00:00,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?14953142468
C00486845,LEAGUE OF CONSERVATION VOTERS VICTORY FUND,2010,Q3,10991369108,,501331,"LEAGUE OF CONSERVATION VOTERS, INC",,,,"1920 L STREET, NW STE 800",,WASHINGTON,DC,20036,501331,N,,STAFF TIME: HIGH DONOR MAILING,2010-09-07 00:00:00,,27.19,125.83,,,S,X,,S8WI00026,"FEINGOLD, RUSS D. SEN.",,RUSS D. SEN.,,FEINGOLD,,S,WI,00,DEM,,,,,,,,"COLLINS, PATRICK",2010-10-15 00:00:00,,,,G2010,,,,,,,EEE798226217C44C18CC,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F3X,4101520101130368715,4101920101130437036,,,f,t,2010-10-15 00:00:00,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?10991369108
C00486845,LCV VICTORY FUND,2016,M8,201608189022505897,24,1094862,RALSTON LAPP MEDIA,,,,1054 31ST ST NW,STE 430,WASHINGTON,DC,200076042,1094862,N,,TV AD PRODUCTION COSTS,2016-08-01 00:00:00,2016-07-25 00:00:00,13233.08,497713.49,,,O,,,S0WI00197,"JOHNSON, RON",,RON,,JOHNSON,,S,WI,00,REP,,,,,,,,"COLLINS, PATRICK",2016-08-18 00:00:00,,,,G2016,,,,PATRICK,,COLLINS,E6EA30C0857774A06A5D,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F3X,4081820161312907347,4081820161312912502,,,f,t,2016-08-18 00:00:00,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608189022505897
C00486845,LCV VICTORY FUND,2020,M10,202010209297463330,24,1457585,THE STRATEGY GROUP LLC,,,,730 N FRANKLIN ST,STE 404,CHICAGO,IL,606547205,1457585,N,,MAILER & POSTAGE,2020-09-16 00:00:00,2020-09-21 00:00:00,87702.49,453905.51,006,Campaign Materials,O,,,S6ME00159,"COLLINS, SUSAN M",,SUSAN M,,COLLINS,,S,ME,00,REP,,,,,,,,"COLLINS, PATRICK",2020-10-20 00:00:00,,,,G2020,,,,PATRICK,,COLLINS,VVAG5AQ3Q75,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F3X,4102120201882236836,4120520201964938771,,,f,t,2020-10-20 00:00:00,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?202010209297463330
C00486845,LEAGUE OF CONSERVATION VOTERS VICTORY FUND,2010,Q3,10991369154,,501331,AHA DIRECT,,,,"1600 WILSON BLVD., SUITE 300",,ARLINGTON,VA,22209,501331,N,,TELEMARKETING,2010-09-15 00:00:00,,2272.11,6363.42,,,O,X,,S6MO00297,"BLUNT, ROY",,ROY,,BLUNT,,S,MO,00,DEM,,,,,,,,"COLLINS, PATRICK",2010-10-15 00:00:00,,,,G2010,,,,,,,E1F9C3D0821D545789AB,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F3X,4101520101130368715,4101920101130437128,,,f,t,2010-10-15 00:00:00,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?10991369154
C00486845,LCV VICTORY FUND,2022,12G,202210279542048997,24,1653599,"LEAGUE OF CONSERVATION VOTERS, INC.",,,,740 15TH ST NW,FL 7,WASHINGTON,DC,200051048,1653599,N,0,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2022-10-17 00:00:00,2022-10-17 00:00:00,7.76,7.76,004,Advertising Expenses ,S,,,H2NC14019,"NICKEL, WILEY",,WILEY,,NICKEL,,H,NC,13,DEM,,,,,,,,"COLLINS, PATRICK",2022-10-27 00:00:00,,,,G2022,,,,PATRICK,,COLLINS,VVAG5ARKBF9,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F3X,4102720221592348768,4112320221630714982,,,f,t,2022-10-27 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210279542048997
C00486845,LCV VICTORY FUND,2020,12G,202010229332715748,24,1461737,"LEAGUE OF CONSERVATION VOTERS, INC.",,,,740 15TH ST NW,FL 7,WASHINGTON,DC,200051048,1461737,N,,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),2020-10-06 00:00:00,2020-10-06 00:00:00,22.79,13284629.72,001,Administrative/Salary/Overhead Expenses ,S,,,P80000722,"BIDEN, JOSEPH R JR",,JOSEPH R JR,,BIDEN,,P,US,00,DEM,,,,,,,,"COLLINS, PATRICK",2020-10-22 00:00:00,,,,G2020,,,,PATRICK,,COLLINS,VVAG5AQ6YF7,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F3X,4102320201882762959,4121720201975293470,,,f,t,2020-10-22 00:00:00,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?202010229332715748
C00486845,LCV VICTORY FUND,2020,12G,202010229332715775,24,1461737,THE PIVOT GROUP,,,,1100 15TH ST NW,FL 4,WASHINGTON,DC,200051707,1461737,N,,MAILER & POSTAGE,2020-10-06 00:00:00,2020-10-12 00:00:00,516372.78,2977872.96,006,Campaign Materials,O,,,S4IA00129,"ERNST, JONI K",,JONI K,,ERNST,,S,IA,00,REP,,,,,,,,"COLLINS, PATRICK",2020-10-22 00:00:00,,,,G2020,,,,PATRICK,,COLLINS,VVAG5AQ7WD4,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F3X,4102320201882762959,4121720201975293524,,,f,t,2020-10-22 00:00:00,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?202010229332715775
C00486845,LCV VICTORY FUND,2020,M10,202010209297463307,24,1457585,M&R STRATEGIC SERVICES,,,,1101 CONNECTICUT AVE NW,FL 7,WASHINGTON,DC,200364303,1457585,N,,CONSULTING - ONLINE MESSAGING,2020-09-25 00:00:00,2020-09-25 00:00:00,200.00,9994015.18,001,Administrative/Salary/Overhead Expenses ,O,X,,P80001571,"TRUMP, DONALD J",,DONALD J,,TRUMP,,P,US,00,REP,,,,,,,,"COLLINS, PATRICK",2020-10-20 00:00:00,,,,G2020,,,,PATRICK,,COLLINS,VVAG5AQ4DB3,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F3X,4102120201882236836,4120520201964938725,,,f,t,2020-10-20 00:00:00,*,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?202010209297463307
