committee_name,support_oppose_indicator,candidate_name,candidate_party,expenditure_amount,expenditure_description,expenditure_date,report_year
LCV VICTORY FUND,O,"JOHNSON, RON",REP,85.95,STAFF TIME AND EMAIL FOR ONLINE MESSAGE,2016-06-21 00:00:00,2016
LCV VICTORY FUND,O,"JOHNSON, RON",REP,13233.08,TV AD PRODUCTION COSTS,2016-08-01 00:00:00,2016
LCV VICTORY FUND,S,"CORTEZ MASTO, CATHERINE",DEM,41875.6,DIGITAL  AD BUY,2016-10-07 00:00:00,2016
LCV VICTORY FUND,S,"CLINTON, HILLARY",DEM,70000.0,MAILER,2016-02-24 00:00:00,2016
LCV VICTORY FUND,S,"CLINTON, HILLARY",DEM,834.96,CREDIT CARD PAYMENT (SEE MEMO BELOW),2016-04-21 00:00:00,2016
LCV VICTORY FUND,S,"CORTEZ MASTO, CATHERINE",DEM,150000.0,DIGITAL AD BUY,2016-10-17 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",REP,75.78,STAFF TIME FOR PRESS RELEASE,2016-11-01 00:00:00,2016
LCV VICTORY FUND,S,"CLINTON, HILLARY",DEM,3205.52,PLEDGE CARDS (REPORTED AS MEMO ITEM ON 10/18/2016),2016-10-31 00:00:00,2016
LCV VICTORY FUND,O,"BURR, RICHARD SEN.",REP,151.48,STAFF TIME FOR RESEARCH MEMO,2016-09-30 00:00:00,2016
LCV VICTORY FUND,O,"JOHNSON, RON",REP,151.48,STAFF TIME FOR RESEARCH MEMO,2016-09-01 00:00:00,2016
LCV VICTORY FUND,O,"HECK, JOE",REP,3615.14,TV AD PRODUCTION (REPORTED AS MEMO ITEM ON SCHEDULE E 10/18/16),2016-10-31 00:00:00,2016
LCV VICTORY FUND,O,"HARDY, CRESENT",REP,36.32,STAFF TIME FOR PRESS RELEASE,2016-09-23 00:00:00,2016
LCV VICTORY FUND,O,"HECK, JOE",REP,468281.0,TV AD BUY,2016-10-26 00:00:00,2016
LCV VICTORY FUND,S,"FEINGOLD, RUSS D. SEN.",DEM,10105.0,DIGITAL AD BUY,2016-07-22 00:00:00,2016
LCV VICTORY FUND,O,"HECK, JOE",REP,85.95,STAFF TIME AND EMAIL FOR ONLINE MESSAGE,2016-06-21 00:00:00,2016
LCV VICTORY FUND,O,"HECK, JOE",REP,72.64,STAFF TIME FOR PRESS RELEASE,2016-10-18 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",,1495.0,DIGITAL AD PRODUCTION,2016-10-18 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",REP,3848.72,"FACEBOOK AD (REPORTED WITH ESTIMATE OF $10,000 ON 10/11/2016)",2016-12-29 00:00:00,2016
LCV VICTORY FUND,S,"CLINTON, HILLARY",DEM,90.8,STAFF TIME FOR PRESS RELEASE,2016-10-21 00:00:00,2016
LCV VICTORY FUND,O,"BURR, RICHARD SEN.",REP,11821.09,TV AD PRODUCTION,2016-10-19 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",REP,10571.38,MAILER AND POSTAGE,2016-09-29 00:00:00,2016
LCV VICTORY FUND,O,"HECK, JOE",REP,37.89,STAFF TIME FOR PRESS RELEASE,2016-10-28 00:00:00,2016
LCV VICTORY FUND,O,"HECK, JOE",REP,36.32,STAFF TIME FOR PRESS RELEASE,2016-09-06 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",REP,20830.17,MAILER AND POSTAGE,2016-09-28 00:00:00,2016
LCV VICTORY FUND,O,"TOOMEY, PAT",REP,18.42,STAFF TIME FOR WEBPAGE SETUP,2016-09-08 00:00:00,2016
LCV VICTORY FUND,O,"JOHNSON, RON",REP,8271.25,TV AD PRODUCTION (REPORTED AS DISBURSEMENT TO WATERFRONT STRATEGIES ON 24-HOUR REPORT 10/31/2016),2016-11-07 00:00:00,2016
LCV VICTORY FUND,S,"SCHWARTZ, GAIL",DEM,125.0,TRANSLATION COSTS,2016-11-18 00:00:00,2016
LCV VICTORY FUND,O,"BURR, RICHARD SEN.",REP,541260.0,TV AD BUY,2016-10-18 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",REP,237.27,STAFF AND EMAIL FOR ONLINE MESSAGE,2016-05-05 00:00:00,2016
LCV VICTORY FUND,O,"TOOMEY, PAT",REP,5935.76,TV AD PRODUCTION COSTS,2016-08-31 00:00:00,2016
LCV VICTORY FUND,S,"ROSS, DEBORAH",DEM,49999.8,"PHONE BANK (REPORTED AS ESTIMATE $50,000 ON 24-HOUR REPORT 11/4/2016)",2016-11-10 00:00:00,2016
LCV VICTORY FUND,O,"JOHNSON, RON",REP,521766.0,TV AD BUY,2016-10-28 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",REP,146166.37,PHONE SURVEY,2016-09-28 00:00:00,2016
LCV VICTORY FUND,S,"CLINTON, HILLARY",DEM,72.64,STAFF TIME FOR PRESS RELEASE,2016-09-07 00:00:00,2016
LCV VICTORY FUND,O,"TOOMEY, PAT",REP,36.32,STAFF TIME FOR PRESS RELEASE,2016-08-29 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",REP,261.02,STAFF TIME & EMAIL FOR ONLINE MESSAGE,2016-05-26 00:00:00,2016
LCV VICTORY FUND,O,"LEWIS, JASON MARK",REP,36.32,STAFF TIME FOR PRESS RELEASE,2016-09-23 00:00:00,2016
LCV VICTORY FUND,O,"HECK, JOE",REP,748334.0,TV AD BUY,2016-07-20 00:00:00,2016
LCV VICTORY FUND,O,"TRUMP, DONALD J.",REP,1495.0,DIGITAL AD PRODUCTION (REPORTED AS MEMO ITEM ON 10/18/2016),2016-10-31 00:00:00,2016
LCV VICTORY FUND,S,"FEINGOLD, RUSS D. SEN.",DEM,4894.24,DIGITAL AD BUY,2016-07-22 00:00:00,2016
LCV VICTORY FUND,S,"CLINTON, HILLARY",DEM,36.32,STAFF TIME FOR PRESS RELEASE,2016-03-02 00:00:00,2016
LCV VICTORY FUND,O,"JOHNSON, RON",REP,736.7,DIGITAL AD PRODUCTION,2016-11-07 00:00:00,2016
LCV VICTORY FUND,S,"SCHWARTZ, GAIL",DEM,50000.0,PHONE BANK,2016-11-08 00:00:00,2016
LCV VICTORY FUND,O,"HECK, JOE",REP,72.64,STAFF TIME FOR PRESS RELEASE,2016-07-21 00:00:00,2016
